2024-12-17 17:09:45,894 - FileInfo(name='makefiles', extension='', is_directory=True, parent_dir='ci')
2024-12-17 17:09:45,894 - FileInfo(name='constants', extension='py', is_directory=False, parent_dir='ci')
2024-12-17 17:09:45,894 - FileInfo(name='osx_ci', extension='sh', is_directory=False, parent_dir='ci')
2024-12-17 17:09:45,894 - FileInfo(name='rebuild_updated_recipes', extension='py', is_directory=False, parent_dir='ci')
2024-12-17 17:09:45,894 - FileInfo(name='__init__', extension='py', is_directory=False, parent_dir='ci')
2024-12-17 17:09:45,895 - FileInfo(name='android', extension='mk', is_directory=False, parent_dir='makefiles')
2024-12-17 17:09:45,895 - FileInfo(name='osx', extension='mk', is_directory=False, parent_dir='makefiles')
2024-12-17 17:09:45,895 - FileInfo(name='source', extension='', is_directory=True, parent_dir='doc')
2024-12-17 17:09:45,895 - FileInfo(name='make', extension='bat', is_directory=False, parent_dir='doc')
2024-12-17 17:09:45,896 - FileInfo(name='Makefile', extension='', is_directory=False, parent_dir='doc')
2024-12-17 17:09:45,896 - FileInfo(name='requirements', extension='txt', is_directory=False, parent_dir='doc')
2024-12-17 17:09:45,896 - FileInfo(name='_static', extension='', is_directory=True, parent_dir='source')
2024-12-17 17:09:45,896 - FileInfo(name='apis', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,896 - FileInfo(name='bootstraps', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,897 - FileInfo(name='buildoptions', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,897 - FileInfo(name='commands', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,897 - FileInfo(name='conf', extension='py', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,897 - FileInfo(name='contact', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,897 - FileInfo(name='contribute', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,897 - FileInfo(name='distutils', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,898 - FileInfo(name='docker', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,898 - FileInfo(name='faq', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,898 - FileInfo(name='index', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,898 - FileInfo(name='quickstart', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,898 - FileInfo(name='recipes', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,899 - FileInfo(name='services', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,899 - FileInfo(name='testing_pull_requests', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,899 - FileInfo(name='troubleshooting', extension='rst', is_directory=False, parent_dir='source')
2024-12-17 17:09:45,899 - FileInfo(name='.empty', extension='', is_directory=False, parent_dir='_static')
2024-12-17 17:09:45,900 - FileInfo(name='bootstraps', extension='', is_directory=True, parent_dir='pythonforandroid')
2024-12-17 17:09:45,900 - FileInfo(name='includes', extension='', is_directory=True, parent_dir='pythonforandroid')
2024-12-17 17:09:45,900 - FileInfo(name='recipes', extension='', is_directory=True, parent_dir='pythonforandroid')
2024-12-17 17:09:45,900 - FileInfo(name='tools', extension='', is_directory=True, parent_dir='pythonforandroid')
2024-12-17 17:09:45,900 - FileInfo(name='__pycache__', extension='', is_directory=True, parent_dir='pythonforandroid')
2024-12-17 17:09:45,901 - FileInfo(name='androidndk', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,901 - FileInfo(name='archs', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,901 - FileInfo(name='bdistapk', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,901 - FileInfo(name='bootstrap', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,901 - FileInfo(name='build', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='checkdependencies', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='distribution', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='entrypoints', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='graph', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='logger', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='patching', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='prerequisites', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,902 - FileInfo(name='pythonpackage', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,904 - FileInfo(name='recipe', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,904 - FileInfo(name='recommendations', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,904 - FileInfo(name='toolchain', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,904 - FileInfo(name='util', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,904 - FileInfo(name='__init__', extension='py', is_directory=False, parent_dir='pythonforandroid')
2024-12-17 17:09:45,905 - FileInfo(name='common', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,905 - FileInfo(name='empty', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,905 - FileInfo(name='qt', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,905 - FileInfo(name='sdl2', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,906 - FileInfo(name='service_library', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,906 - FileInfo(name='service_only', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,906 - FileInfo(name='webview', extension='', is_directory=True, parent_dir='bootstraps')
2024-12-17 17:09:45,906 - FileInfo(name='__init__', extension='py', is_directory=False, parent_dir='bootstraps')
2024-12-17 17:09:45,907 - FileInfo(name='build', extension='', is_directory=True, parent_dir='common')
2024-12-17 17:09:45,907 - FileInfo(name='gradle', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,907 - FileInfo(name='jni', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,907 - FileInfo(name='src', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,908 - FileInfo(name='templates', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,908 - FileInfo(name='ant', extension='properties', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,908 - FileInfo(name='build', extension='py', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,908 - FileInfo(name='gradlew', extension='', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,908 - FileInfo(name='gradlew', extension='bat', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,909 - FileInfo(name='whitelist', extension='txt', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,909 - FileInfo(name='wrapper', extension='', is_directory=True, parent_dir='gradle')
2024-12-17 17:09:45,909 - FileInfo(name='gradle-wrapper', extension='jar', is_directory=False, parent_dir='wrapper')
2024-12-17 17:09:45,910 - FileInfo(name='gradle-wrapper', extension='properties', is_directory=False, parent_dir='wrapper')
2024-12-17 17:09:45,910 - FileInfo(name='application', extension='', is_directory=True, parent_dir='jni')
2024-12-17 17:09:45,910 - FileInfo(name='Android', extension='mk', is_directory=False, parent_dir='jni')
2024-12-17 17:09:45,910 - FileInfo(name='src', extension='', is_directory=True, parent_dir='application')
2024-12-17 17:09:45,910 - FileInfo(name='Android', extension='mk', is_directory=False, parent_dir='application')
2024-12-17 17:09:45,911 - FileInfo(name='Android', extension='mk', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,911 - FileInfo(name='start', extension='c', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,911 - FileInfo(name='main', extension='', is_directory=True, parent_dir='src')
2024-12-17 17:09:45,911 - FileInfo(name='java', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,911 - FileInfo(name='org', extension='', is_directory=True, parent_dir='java')
2024-12-17 17:09:45,912 - FileInfo(name='kamranzafar', extension='', is_directory=True, parent_dir='org')
2024-12-17 17:09:45,912 - FileInfo(name='kivy', extension='', is_directory=True, parent_dir='org')
2024-12-17 17:09:45,912 - FileInfo(name='renpy', extension='', is_directory=True, parent_dir='org')
2024-12-17 17:09:45,912 - FileInfo(name='jtar', extension='', is_directory=True, parent_dir='kamranzafar')
2024-12-17 17:09:45,913 - FileInfo(name='Octal', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,913 - FileInfo(name='TarConstants', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,913 - FileInfo(name='TarEntry', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,913 - FileInfo(name='TarHeader', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,913 - FileInfo(name='TarInputStream', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,914 - FileInfo(name='TarOutputStream', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,914 - FileInfo(name='TarUtils', extension='java', is_directory=False, parent_dir='jtar')
2024-12-17 17:09:45,914 - FileInfo(name='android', extension='', is_directory=True, parent_dir='kivy')
2024-12-17 17:09:45,914 - FileInfo(name='PythonService', extension='java', is_directory=False, parent_dir='android')
2024-12-17 17:09:45,914 - FileInfo(name='PythonUtil', extension='java', is_directory=False, parent_dir='android')
2024-12-17 17:09:45,915 - FileInfo(name='android', extension='', is_directory=True, parent_dir='renpy')
2024-12-17 17:09:45,915 - FileInfo(name='AssetExtract', extension='java', is_directory=False, parent_dir='android')
2024-12-17 17:09:45,915 - FileInfo(name='Hardware', extension='java', is_directory=False, parent_dir='android')
2024-12-17 17:09:45,915 - FileInfo(name='ResourceManager', extension='java', is_directory=False, parent_dir='android')
2024-12-17 17:09:45,916 - FileInfo(name='build', extension='properties', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,916 - FileInfo(name='build.tmpl', extension='gradle', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,916 - FileInfo(name='build.tmpl', extension='xml', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,916 - FileInfo(name='custom_rules.tmpl', extension='xml', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,916 - FileInfo(name='gradle.tmpl', extension='properties', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,917 - FileInfo(name='kivy-icon', extension='png', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,917 - FileInfo(name='kivy-presplash', extension='jpg', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,917 - FileInfo(name='lottie', extension='xml', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,917 - FileInfo(name='Service.tmpl', extension='java', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,918 - FileInfo(name='build', extension='', is_directory=True, parent_dir='empty')
2024-12-17 17:09:45,918 - FileInfo(name='__init__', extension='py', is_directory=False, parent_dir='empty')
2024-12-17 17:09:45,918 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,919 - FileInfo(name='build', extension='', is_directory=True, parent_dir='qt')
2024-12-17 17:09:45,919 - FileInfo(name='__init__', extension='py', is_directory=False, parent_dir='qt')
2024-12-17 17:09:45,919 - FileInfo(name='jni', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,919 - FileInfo(name='src', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,919 - FileInfo(name='templates', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,920 - FileInfo(name='.gitignore', extension='', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,920 - FileInfo(name='blacklist', extension='txt', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,920 - FileInfo(name='application', extension='', is_directory=True, parent_dir='jni')
2024-12-17 17:09:45,920 - FileInfo(name='Application', extension='mk', is_directory=False, parent_dir='jni')
2024-12-17 17:09:45,920 - FileInfo(name='src', extension='', is_directory=True, parent_dir='application')
2024-12-17 17:09:45,920 - FileInfo(name='Android', extension='mk', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,920 - FileInfo(name='Android_static', extension='mk', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,922 - FileInfo(name='bootstrap_name', extension='h', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,922 - FileInfo(name='main', extension='', is_directory=True, parent_dir='src')
2024-12-17 17:09:45,922 - FileInfo(name='assets', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,922 - FileInfo(name='java', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,922 - FileInfo(name='jniLibs', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,923 - FileInfo(name='libs', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,923 - FileInfo(name='res', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,923 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='assets')
2024-12-17 17:09:45,923 - FileInfo(name='org', extension='', is_directory=True, parent_dir='java')
2024-12-17 17:09:45,923 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='java')
2024-12-17 17:09:45,923 - FileInfo(name='kivy', extension='', is_directory=True, parent_dir='org')
2024-12-17 17:09:45,924 - FileInfo(name='android', extension='', is_directory=True, parent_dir='kivy')
2024-12-17 17:09:45,924 - FileInfo(name='PythonActivity', extension='java', is_directory=False, parent_dir='android')
2024-12-17 17:09:45,924 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='jniLibs')
2024-12-17 17:09:45,924 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='libs')
2024-12-17 17:09:45,925 - FileInfo(name='drawable', extension='', is_directory=True, parent_dir='res')
2024-12-17 17:09:45,925 - FileInfo(name='mipmap', extension='', is_directory=True, parent_dir='res')
2024-12-17 17:09:45,925 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='drawable')
2024-12-17 17:09:45,925 - FileInfo(name='.gitkeep', extension='', is_directory=False, parent_dir='mipmap')
2024-12-17 17:09:45,926 - FileInfo(name='AndroidManifest.tmpl', extension='xml', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,926 - FileInfo(name='libs.tmpl', extension='xml', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,926 - FileInfo(name='strings.tmpl', extension='xml', is_directory=False, parent_dir='templates')
2024-12-17 17:09:45,926 - FileInfo(name='build', extension='', is_directory=True, parent_dir='sdl2')
2024-12-17 17:09:45,926 - FileInfo(name='__init__', extension='py', is_directory=False, parent_dir='sdl2')
2024-12-17 17:09:45,927 - FileInfo(name='jni', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,927 - FileInfo(name='src', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,927 - FileInfo(name='templates', extension='', is_directory=True, parent_dir='build')
2024-12-17 17:09:45,927 - FileInfo(name='.gitignore', extension='', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,927 - FileInfo(name='blacklist', extension='txt', is_directory=False, parent_dir='build')
2024-12-17 17:09:45,928 - FileInfo(name='application', extension='', is_directory=True, parent_dir='jni')
2024-12-17 17:09:45,928 - FileInfo(name='Application', extension='mk', is_directory=False, parent_dir='jni')
2024-12-17 17:09:45,928 - FileInfo(name='src', extension='', is_directory=True, parent_dir='application')
2024-12-17 17:09:45,928 - FileInfo(name='Android_static', extension='mk', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,929 - FileInfo(name='bootstrap_name', extension='h', is_directory=False, parent_dir='src')
2024-12-17 17:09:45,929 - FileInfo(name='main', extension='', is_directory=True, parent_dir='src')
2024-12-17 17:09:45,929 - FileInfo(name='patches', extension='', is_directory=True, parent_dir='src')
2024-12-17 17:09:45,929 - FileInfo(name='assets', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,930 - FileInfo(name='java', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,930 - FileInfo(name='jniLibs', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,930 - FileInfo(name='libs', extension='', is_directory=True, parent_dir='main')
2024-12-17 17:09:45,930 - FileInfo(name='res', extension='', is_directory=True, parent_dir='main')
